% Model:              Nankai_mu008_1E10_xsw100-Results.mph
% Version:            COMSOL 5.5.0.359
% Date:               Sep 3 2024, 13:17
% Dimension:          1
% Nodes:              6631
% Expressions:        1
% Description:        Line graph
% X                       Height
-170                      -20
-169.95002939447386       -20
-169.90005878894772       -20
-169.85008818342152       -20
-169.80011757789538       -20
-169.7501469723692        -20
-169.70017636684304       -20
-169.65020576131687       -20
-169.6002351557907        -20
-169.55026455026456       -20
-169.5002939447384        -20
-169.45032333921222       -20
-169.40035273368608       -20
-169.35038212815994       -20
-169.30041152263374       -20
-169.2504409171076        -20
-169.20047031158146       -20
-169.15049970605529       -20
-169.10052910052912       -20
-169.05055849500297       -20
-169.00058788947683       -20
-168.9506172839507        -20
-168.9006466784245        -20
-168.8506760728983        -20
-168.8007054673721        -20
-168.75073486184596       -20
-168.7007642563198        -20
-168.65079365079367       -20
-168.60082304526753       -20
-168.55085243974136       -20
-168.5008818342152        -20
-168.45091122868905       -20
-168.4009406231629        -20
-168.3509700176367        -20
-168.30099941211057       -20
-168.2510288065844        -20
-168.20105820105826       -20
-168.1510875955321        -20
-168.10111699000592       -20
-168.05114638447975       -20
-168.00117577895358       -20
-167.95120517342744       -20
-167.9012345679013        -20
-167.85126396237513       -20
-167.80129335684893       -20
-167.75132275132276       -20
-167.70135214579665       -20
-167.65138154027048       -20
-167.6014109347443        -20
-167.55144032921817       -20
-167.50146972369197       -20
-167.4514991181658        -20
-167.40152851263963       -20
-167.35155790711346       -20
-167.30158730158732       -20
-167.25161669606115       -20
-167.201646090535         -20
-167.15167548500887       -20
-167.10170487948272       -20
-167.05173427395655       -20
-167.00176366843039       -20
-166.95179306290422       -20
-166.90182245737805       -20
-166.85185185185188       -20
-166.80188124632573       -20
-166.7519106407996        -20
-166.70194003527345       -20
-166.65196942974725       -20
-166.60199882422106       -20
-166.55202821869486       -20
-166.50205761316872       -20
-166.45208700764258       -20
-166.40211640211643       -20
-166.3521457965903        -20
-166.30217519106412       -20
-166.25220458553795       -20
-166.2022339800118        -20
-166.15226337448564       -20
-166.10229276895944       -20
-166.0523221634333        -20
-166.00235155790716       -20
-165.95238095238102       -20
-165.90241034685485       -20
-165.8524397413287        -20
-165.80246913580254       -20
-165.75249853027637       -20
-165.70252792475017       -20
-165.652557319224         -20
-165.60258671369786       -20
-165.55261610817166       -20
-165.50264550264552       -20
-165.45267489711938       -20
-165.40270429159324       -20
-165.35273368606704       -20
-165.3027630805409        -20
-165.25279247501476       -20
-165.20282186948862       -20
-165.15285126396245       -20
-165.10288065843628       -20
-165.05291005291014       -20
-165.002939447384         -20
-164.95296884185777       -20
-164.9029982363316        -20
-164.85302763080546       -20
-164.80305702527926       -20
-164.75308641975312       -20
-164.70311581422698       -20
-164.65314520870083       -20
-164.60317460317466       -20
-164.55320399764852       -20
-164.50323339212238       -20
-164.4532627865962        -20
-164.40329218107001       -20
-164.35332157554384       -20
-164.3033509700177        -20
-164.25338036449156       -20
-164.20340975896534       -20
-164.15343915343917       -20
-164.10346854791302       -20
-164.05349794238685       -20
-164.0035273368607        -20
-163.9535567313346        -20
-163.90358612580843       -20
-163.85361552028226       -20
-163.80364491475612       -20
-163.75367430922995       -20
-163.70370370370378       -20
-163.6537330981776        -20
-163.60376249265144       -20
-163.55379188712527       -20
-163.50382128159913       -20
-163.45385067607296       -20
-163.40388007054682       -20
-163.35390946502068       -20
-163.30393885949454       -20
-163.25396825396834       -20
-163.2039976484422        -20
-163.15402704291603       -20
-163.10405643738983       -20
-163.0540858318637        -20
-163.00411522633752       -20
-162.95414462081135       -20
-162.90417401528515       -20
-162.85420340975898       -20
-162.8042328042328        -20
-162.7542621987067        -20
-162.70429159318053       -20
-162.6543209876544        -20
-162.60435038212827       -20
-162.5543797766021        -20
-162.50440917107593       -20
-162.4544385655498        -20
-162.40446796002362       -20
-162.35449735449743       -20
-162.30452674897126       -20
-162.2545561434451        -20
-162.20458553791894       -20
-162.15461493239278       -20
-162.10464432686666       -20
-162.05467372134052       -20
-162.00470311581435       -20
-161.95473251028812       -20
-161.90476190476195       -20
-161.8547912992358        -20
-161.80482069370962       -20
-161.75485008818347       -20
-161.70487948265733       -20
-161.6549088771312        -20
-161.60493827160502       -20
-161.55496766607885       -20
-161.50499706055268       -20
-161.4550264550265        -20
-161.40505584950034       -20
-161.3550852439742        -20
-161.30511463844806       -20
-161.25514403292192       -20
-161.20517342739575       -20
-161.15520282186958       -20
-161.10523221634347       -20
-161.0552616108173        -20
-161.00529100529113       -20
-160.955320399765         -20
-160.90534979423882       -20
-160.85537918871262       -20
-160.80540858318645       -20
-160.75543797766028       -20
-160.70546737213414       -20
-160.65549676660797       -20
-160.6055261610818        -20
-160.55555555555563       -20
-160.50558495002952       -20
-160.45561434450332       -20
-160.40564373897718       -20
-160.35567313345103       -20
-160.30570252792486       -20
-160.25573192239867       -20
-160.20576131687253       -20
-160.15579071134638       -20
-160.10582010582021       -20
-160.05584950029407       -20
-160.0058788947679        -20
-159.95590828924173       -17.497882013605516
-159.90593768371556       -16.513020000137843
-159.8559670781894        -15.95907182823138
-159.80599647266325       -15.5721409643571
-159.7560258671371        -15.27463720435361
-159.70605526161094       -15.032966917079984
-159.65608465608477       -14.82950431298714
-159.60611405055863       -14.653842991372482
-159.55614344503246       -14.499322929892394
-159.5061728395063        -14.361423388572765
-159.45620223398015       -14.236934678603024
-159.40623162845398       -14.123495604186532
-159.35626102292784       -14.019318465486634
-159.30629041740164       -13.923017166541943
-159.25631981187547       -13.833495258395484
-159.2063492063493        -13.749870466393121
-159.15637860082313       -13.671422303341108
-159.106407995297         -13.59755478097737
-159.05643738977085       -13.52776928139985
-159.0064667842447        -13.461644437508847
-158.9564961787185        -13.39882095578203
-158.90652557319234       -13.338989992468937
-158.8565549676662        -13.281884129355
-158.80658436214006       -13.227270281218724
-158.7566137566139        -13.17494405909557
-158.70664315108775       -13.12472524486561
-158.65667254556158       -13.076454124180831
-158.60670194003538       -13.029988489489838
-158.5567313345092        -12.985201171387171
-158.50676072898304       -12.941977990318607
-158.45679012345687       -12.900216045572758
-158.40681951793073       -12.859822277029169
-158.3568489124046        -12.820712249094987
-158.30687830687845       -12.782809116871471
-158.25690770135228       -12.746042742732731
-158.20693709582608       -12.710348937797525
-158.1569664902999        -12.675668807687083
-158.10699588477377       -12.64194818582342
-158.05702527924763       -12.609137140577548
-158.00705467372143       -12.577189545012063
-157.95708406819531       -12.546062699914158
-157.90711346266914       -12.51571700238908
-157.857142857143         -12.486115653563132
-157.80717225161683       -12.457224399984112
-157.75720164609066       -12.429011304162904
-157.7072310405645        -12.401446540402175
-157.6572604350383        -12.37450221263998
-157.60728982951213       -12.34815219151998
-157.55731922398596       -12.322371968303012
-157.50734861845982       -12.297138523573544
-157.45737801293365       -12.27243020897849
-157.40740740740748       -12.248226640476336
-157.35743680188136       -12.224508601777739
-157.30746619635522       -12.201257956831872
-157.25749559082905       -12.178457570360484
-157.2075249853029        -12.156091235567429
-157.15755437977677       -12.134143608259901
-157.1075837742506        -12.112600146711017
-157.05761316872443       -12.091447056673447
-157.00764256319826       -12.070671241023671
-156.9576719576721        -12.050260253576415
-156.90770135214592       -12.03020225666189
-156.85773074661975       -12.010485982103624
-156.8077601410936        -11.991100695275026
-156.75778953556747       -11.972036161947697
-156.70781893004127       -11.953282617675278
-156.65784832451513       -11.934830739483681
-156.607877718989         -11.91667161966209
-156.55790711346282       -11.898796741470646
-156.50793650793665       -11.881197956598967
-156.45796590241048       -11.863867464226074
