% Model:              Japan_mu008_1E10_xsw25-Results.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 3 2024, 18:18
% Dimension:          1
% Nodes:              8269
% Expressions:        1
% Description:        Line graph
% X                       Height
-249.99999999999997       -20
-249.95000999800038       -20
-249.90001999600074       -20
-249.85002999400118       -20
-249.80003999200156       -20
-249.75004999000194       -20
-249.70005998800232       -20
-249.65006998600273       -20
-249.6000799840031        -20
-249.55008998200347       -20
-249.50009998000388       -20
-249.45010997800424       -20
-249.40011997600462       -20
-249.350129974005         -20
-249.30013997200538       -20
-249.25014997000576       -20
-249.20015996800618       -20
-249.15016996600653       -20
-249.1001799640069        -20
-249.05018996200732       -20
-249.00019996000768       -20
-248.95020995800806       -20
-248.90021995600844       -20
-248.85022995400882       -20
-248.8002399520092        -20
-248.75024995000962       -20
-248.70025994800997       -20
-248.65026994601035       -20
-248.60027994401077       -20
-248.55028994201112       -20
-248.5002999400115        -20
-248.45030993801188       -20
-248.40031993601227       -20
-248.35032993401265       -20
-248.30033993201306       -20
-248.2503499300134        -20
-248.2003599280138        -20
-248.15036992601418       -20
-248.10037992401456       -20
-248.05038992201494       -20
-248.0003999200153        -20
-247.9504099180157        -20
-247.9004199160161        -20
-247.85042991401647       -20
-247.80043991201686       -20
-247.75044991001724       -20
-247.70045990801762       -20
-247.650469906018         -20
-247.60047990401839       -20
-247.55048990201877       -20
-247.50049990001915       -20
-247.45050989801956       -20
-247.40051989601994       -20
-247.3505298940203        -20
-247.3005398920207        -20
-247.2505498900211        -20
-247.20055988802144       -20
-247.15056988602186       -20
-247.10057988402224       -20
-247.05058988202262       -20
-247.000599880023         -20
-246.95060987802339       -20
-246.90061987602374       -20
-246.85062987402415       -20
-246.80063987202453       -20
-246.7506498700249        -20
-246.7006598680253        -20
-246.65066986602568       -20
-246.60067986402606       -20
-246.55068986202642       -20
-246.50069986002683       -20
-246.45070985802718       -20
-246.40071985602756       -20
-246.35072985402797       -20
-246.30073985202833       -20
-246.2507498500287        -20
-246.20075984802912       -20
-246.1507698460295        -20
-246.10077984402986       -20
-246.05078984203027       -20
-246.00079984003062       -20
-245.950809838031         -20
-245.90081983603142       -20
-245.85082983403177       -20
-245.80083983203215       -20
-245.75084983003256       -20
-245.70085982803295       -20
-245.6508698260333        -20
-245.6008798240337        -20
-245.55088982203407       -20
-245.50089982003445       -20
-245.45090981803486       -20
-245.4009198160352        -20
-245.3509298140356        -20
-245.300939812036         -20
-245.2509498100364        -20
-245.20095980803674       -20
-245.15096980603715       -20
-245.10097980403756       -20
-245.05098980203792       -20
-245.0009998000383        -20
-244.95100979803865       -20
-244.90101979603904       -20
-244.85102979403945       -20
-244.8010397920398        -20
-244.75104979004018       -20
-244.7010597880406        -20
-244.65106978604092       -20
-244.60107978404133       -20
-244.55108978204174       -20
-244.50109978004207       -20
-244.45110977804248       -20
-244.4011197760429        -20
-244.35112977404324       -20
-244.30113977204363       -20
-244.25114977004404       -20
-244.20115976804436       -20
-244.15116976604477       -20
-244.10117976404518       -20
-244.0511897620455        -20
-244.00119976004592       -20
-243.95120975804633       -20
-243.9012197560467        -20
-243.85122975404707       -20
-243.80123975204748       -20
-243.7512497500478        -20
-243.70125974804822       -20
-243.65126974604863       -20
-243.60127974404895       -20
-243.55128974204936       -20
-243.50129974004977       -20
-243.45130973805013       -20
-243.4013197360505        -20
-243.3513297340509        -20
-243.30133973205125       -20
-243.25134973005166       -20
-243.20135972805204       -20
-243.1513697260524        -20
-243.1013797240528        -20
-243.0513897220532        -20
-243.00139972005357       -20
-242.95140971805395       -20
-242.90141971605433       -20
-242.85142971405475       -20
-242.80143971205513       -20
-242.7514497100555        -20
-242.7014597080559        -20
-242.65146970605628       -20
-242.6014797040567        -20
-242.55148970205704       -20
-242.50149970005745       -20
-242.45150969805783       -20
-242.4015196960582        -20
-242.35152969405857       -20
-242.30153969205895       -20
-242.25154969005933       -20
-242.20155968805975       -20
-242.1515696860601        -20
-242.10157968406048       -20
-242.05158968206086       -20
-242.00159968006122       -20
-241.95160967806163       -20
-241.901619676062         -20
-241.8516296740624        -20
-241.80163967206278       -20
-241.75164967006313       -20
-241.70165966806354       -20
-241.65166966606392       -20
-241.60167966406428       -20
-241.55168966206466       -20
-241.50169966006507       -20
-241.45170965806543       -20
-241.40171965606584       -20
-241.35172965406622       -20
-241.30173965206657       -20
-241.25174965006698       -20
-241.20175964806737       -20
-241.15176964606772       -20
-241.1017796440681        -20
-241.0517896420685        -20
-241.00179964006887       -20
-240.95180963806928       -20
-240.90181963606966       -20
-240.85182963407001       -20
-240.80183963207043       -20
-240.7518496300708        -20
-240.70185962807116       -20
-240.65186962607154       -20
-240.60187962407196       -20
-240.5518896220723        -20
-240.50189962007272       -20
-240.4519096180731        -20
-240.40191961607346       -20
-240.35192961407387       -20
-240.30193961207425       -20
-240.2519496100746        -20
-240.201959608075         -20
-240.15196960607537       -20
-240.10197960407575       -20
-240.05198960207616       -20
-240.00199960007652       -20
-239.9520095980769        -17.387881107890912
-239.9020195960773        -16.4599508848557
-239.85202959407766       -15.924021403198344
-239.80203959207805       -15.545922090133411
-239.75204959007843       -15.253661289116252
-239.7020595880788        -15.015463300643708
-239.6520695860792        -14.81446978408969
